publisher,title,issn_l,issn,oa_status,works
"Unknown / no publisher","Journal of the Nephrology Society of Thailand","0859-239X","0859-239X 2774-0676","hybrid","20"
"Unknown / no publisher","Thai Red Cross Nursing Journal","1906-7925","1906-7925 3027-6489","hybrid","20"
"Insight Society","International Journal on Advanced Science Engineering and Information Technology","2088-5334","2088-5334 2460-6952","hybrid","19"
"Bentham Science Publishers","The Open Dentistry Journal","1874-2106","1874-2106","hybrid","18"
"Institute of Medico-legal Publications Private Limited","International Journal of Nursing Education","0974-9349","0974-9349 0974-9357","hybrid","18"
"Unknown / no publisher","Art and Performance Letters","2523-5877","2523-5877","hybrid","18"
"International Information and Engineering Technology Association","International Journal of Sustainable Development and Planning","1743-7601","1743-7601 1743-761X","hybrid","18"
"Unknown / no publisher","PSU Medical Journal","3057-1340","3057-1340","hybrid","18"
"Unknown / no publisher","Journal of Advanced Research in Applied Sciences and Engineering Technology","2462-1943","2462-1943","hybrid","17"
"De Gruyter","Frontiers of Nursing","2544-8994","2544-8994","hybrid","17"
"Unknown / no publisher","SNRU Journal of Science and Technology","2630-015X","2630-015X","hybrid","17"
"Unknown / no publisher","TLA Research Journal","3027-6977","3027-6977","hybrid","17"
"Unknown / no publisher","Pertanika journal of social science & humanities","0128-7702","0128-7702 2231-8534","hybrid","16"
"Unknown / no publisher","วารสารงานวิจัยและพัฒนาเชิงประยุกต์ โดยสมาคม ECTI","2773-918X","2773-918X","hybrid","16"
"Iran University of Science and Technology","International Journal of Communication Networks and Information Security (IJCNIS)","2073-607X","2073-607X 2076-0930","hybrid","16"
"Unknown / no publisher","International Journal For Multidisciplinary Research","2582-2160","2582-2160","hybrid","16"
"Unknown / no publisher","Journal of Fisheries and Environment","2630-0826","2630-0826","hybrid","16"
"Unknown / no publisher","International Journal of Health & Business Analytics","3116-2649","3116-2649","hybrid","16"
"Rajamangala University of Technology Thanyaburi","Journal of Fine Arts Research and Applied Arts","2822-003X","2822-003X 2822-0048","hybrid","15"
"Unknown / no publisher","The Asian Conference on the Arts, Humanities and Social Sciences Conference proceedings/Asian Conference on the Social Sciences official conference proceedings/Asian Conference on Arts & Humanities official conference proceedings","2186-229X","2186-229X 2186-2303 2218-2179","hybrid","14"
"Unknown / no publisher","Journal of Renewable Energy and Smart Grid Technology","2630-0036","2630-0036","hybrid","14"
"Science Publications","Journal of Computer Science","1549-3636","1549-3636 1552-6607","hybrid","13"
"Unknown / no publisher","Annals of Applied Sport Science","1564-0205","1564-0205","hybrid","13"
"Unknown / no publisher","Advances in Vocational and Technical Education","2523-5834","2523-5834","hybrid","13"
"Unknown / no publisher","Lex localis - Journal of Local Self-Government","1581-5374","1581-5374 1855-363X","hybrid","13"
"Unknown / no publisher","Journal of Southeast Asian Orthopaedics","2821-9848","2821-9848 2821-9864","hybrid","13"
"Unknown / no publisher","Journal of Contemporary Social Sciences and Humanities","2630-0583","2630-0583 2985-055X","hybrid","13"
"Unknown / no publisher","Recent Science and Technology","3057-0786","3057-0786","hybrid","13"
"National Academy of Sciences","Proceedings of the National Academy of Sciences","0027-8424","0027-8424 1091-6490","hybrid","12"
"World Scientific","Fractals","0218-348X","0218-348X 1793-6543","hybrid","12"
"University of Putra Malaysia","Pertanika journal of science & technology","0128-7680","0128-7680 2231-8526","hybrid","12"
"Unknown / no publisher","Proceedings of 37th International Cosmic Ray Conference — PoS(ICRC2021)","","","hybrid","12"
"Unknown / no publisher","The Journal of Behavioral Science","2651-2246","2651-2246","hybrid","12"
"Unknown / no publisher","Language and Linguistics","0857-1406","0857-1406 2672-9881","hybrid","12"
"Elsevier BV","Oncology Reports","1021-335X","1021-335X 1791-2431","hybrid","11"
"Unknown / no publisher","Accounting and Corporate Management","2523-5788","2523-5788","hybrid","11"
"Unknown / no publisher","DEC Journal Art and Design","3088-1277","3088-1277 3088-1323","hybrid","11"
"Unknown / no publisher","Indochina Applied Science","3088-120X","3088-120X","hybrid","11"
"Medknow","Pharmacognosy Research","0974-8490","0974-8490 0976-4836","hybrid","10"
"GSC Online Press","World Journal of Advanced Research and Reviews","2581-9615","2581-9615","hybrid","10"
"Unknown / no publisher","GSC Advanced Research and Reviews","2582-4597","2582-4597","hybrid","10"
"Unknown / no publisher","International Journal of Global Optimization and Its Application","2948-4030","2948-4030","hybrid","10"
"Korean Society for Parasitology","Parasites Hosts and Diseases","2982-5164","2982-5164 2982-6799","hybrid","10"
"Unknown / no publisher","Corporate Law & Governance Review","2664-1542","2664-1542 2707-1111","hybrid","10"
"UWA Publishing","IWA Publishing eBooks","","","hybrid","10"
"Korean Society of Radiology","Korean Journal of Radiology","1229-6929","1229-6929 2005-8330","hybrid","9"
"Unknown / no publisher","Journal of Population and Social Studies","2465-4418","2465-4418","hybrid","9"
"Publishing house ""Virtus Interpress""","Corporate Governance and Organizational Behavior Review","2521-1870","2521-1870 2521-1889","hybrid","9"
"Atlantis Press","Atlantis highlights in social sciences, education and humanities/Atlantis Highlights in Social Sciences, Education and Humanities","2667-128X","2667-128X 2731-796X","hybrid","9"
"Atlantis Press","Advances in computer science research","2352-538X","2352-538X 2948-1961","hybrid","9"
"Unknown / no publisher","Journal of Education and Community Health","2820-896X","2820-896X","hybrid","9"
"Unknown / no publisher","Trans Tech Publications Ltd. eBooks","","","hybrid","9"
